id,ewondo,francais,voiceFrancais
36,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_036.wav.ogg, ou se trouve la banque?? ,c:\Users\hp\Desktop\MBOA\francais\audio_036.wav.ogg
37,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_037.wav.ogg, ou se trouve le carrefour?,c:\Users\hp\Desktop\MBOA\francais\audio_037.wav.ogg
38,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_038.wav.ogg, ou se trouve le marche?,c:\Users\hp\Desktop\MBOA\francais\audio_038.wav.ogg
39,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_039.wav.ogg, c'est loin d'ici?,c:\Users\hp\Desktop\MBOA\francais\audio_039.wav.ogg
40,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_040.wav.ogg, tourne a gauche,c:\Users\hp\Desktop\MBOA\francais\audio_040.wav.ogg
41,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_041.wav.ogg, tourne a gauche,c:\Users\hp\Desktop\MBOA\francais\audio_041.wav.ogg
42,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_042.wav.ogg, va tout droit ,c:\Users\hp\Desktop\MBOA\francais\audio_042.wav.ogg
43,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_043.wav.ogg, je veux aller a messassi ,c:\Users\hp\Desktop\MBOA\francais\audio_043.wav.ogg
44,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_044.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_044.wav.ogg
45,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_045.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_045.wav.ogg
46,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_046.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_046.wav.ogg
47,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_047.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_047.wav.ogg
48,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_048.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_048.wav.ogg
49,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_049.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_049.wav.ogg
50,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_050.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_050.wav.ogg
51,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_051.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_051.wav.ogg
52,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_052.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_052.wav.ogg
53,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_053.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_053.wav.ogg
54,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_054.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_054.wav.ogg
55,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_055.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_055.wav.ogg
56,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_056.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_056.wav.ogg
57,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_057.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_057.wav.ogg
58,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_058.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_058.wav.ogg
59,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_059.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_059.wav.ogg
60,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_060.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_060.wav.ogg
61,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_061.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_061.wav.ogg
62,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_062.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_062.wav.ogg
63,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_063.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_063.wav.ogg
64,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_064.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_064.wav.ogg
65,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_065.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_065.wav.ogg
66,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_066.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_066.wav.ogg
67,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_067.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_067.wav.ogg
68,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_068.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_068.wav.ogg
69,c:\Users\hp\Desktop\MBOA\ia-modeles\data\ewondo\audio\audio_069.wav.ogg, ,c:\Users\hp\Desktop\MBOA\francais\audio_069.wav.ogg
